question,ground_truth,answer,num_chunks_retrieved,num_chunks_judged,context_precision,context_recall,context_relevancy,faithfulness,faithfulness_issues,answer_relevancy,exact_match
What is the penalty for breaching the obligation to take reasonable security safeguards to prevent a personal data breach under Section 8(5)?,"The penalty may extend to two hundred and fifty crore rupees, as per item 1 of the Schedule.",Sl. No. 1: Breach in observing the obligation of Data Fiduciary to take reasonable security safeguards to prevent personal data breach under sub-section (5) of section 8. Penalty: May extend to two hundred and fifty crore rupees.,12,12,1.0,1.0,0.98,1.0,,1.0,1.0
What is the penalty for a breach in observance of additional obligations in relation to children under Section 9?,"The penalty may extend to two hundred crore rupees, as per item 3 of the Schedule.",Sl. No. 3: Breach in observance of additional obligations in relation to children under section 9. Penalty: May extend to two hundred crore rupees.,12,12,1.0,1.0,0.97,1.0,,1.0,1.0
What is the maximum penalty for a breach of any other provision of the Act or the rules made thereunder?,"The penalty may extend to fifty crore rupees, as per item 7 of the Schedule.",Sl. No. 7: Breach of any other provision of this Act or the rules made thereunder. Penalty: May extend to fifty crore rupees.,12,12,1.0,1.0,0.98,1.0,,0.99,1.0
What is the penalty for a breach of duties under Section 15 by a Data Principal?,"The penalty may extend to ten thousand rupees, as per item 5 of the Schedule.",Sl. No. 6: Breach in observance of the duties under section 15. Penalty: May extend to ten thousand rupees.,12,12,1.0,1.0,0.96,1.0,,1.0,1.0
What is the penalty for a breach of the obligation to give the Board or affected Data Principal notice of a personal data breach under Section 8(6)?,"The penalty may extend to two hundred crore rupees, as per item 2 of the Schedule.","According to the provided context, the penalty for a breach of the obligation to give the Board or affected Data Principal notice of a personal data breach under Section 8(6) is mentioned in the following entry:

Sl. No. 2: Breach in observing the obligation to give the Board or affected Data Principal notice of a personal data breach under sub-section (6) of section 8. Penalty: May extend to two hundred crore rupees.",12,12,1.0,1.0,0.95,1.0,,1.0,1.0
What is the penalty for a breach in observance of additional obligations of a Significant Data Fiduciary under Section 10?,"The penalty may extend to one hundred and fifty crore rupees, as per item 4 of the Schedule.",Sl. No. 4: Breach in observance of additional obligations of Significant Data Fiduciary under section 10. Penalty: May extend to one hundred and fifty crore rupees.,12,12,1.0,1.0,0.97,1.0,,1.0,1.0
What is the penalty for a breach of any term of a voluntary undertaking accepted by the Board?,"The penalty can be up to the extent applicable for the breach in respect of which the proceedings under Section 28 were instituted, as per item 6 of the Schedule.","As per Section 33(1) of the Act, the penalty for a breach of any term of a voluntary undertaking accepted by the Board under section 32 is specified in the Schedule. 

The exact entry from the Schedule is: 
Sl. No. 6: Breach of any term of voluntary undertaking accepted by the Board under section 32. 
Penalty: Up to the extent applicable for the breach in respect of which the proceedings under section 28 were instituted.",12,12,0.92,0.9,0.85,0.95,"Minor rephrasing, but grounded.",0.95,1.0
"How is 'child' defined under the Digital Personal Data Protection Act, 2023?","'Child' means an individual who has not completed the age of eighteen years, as defined in Section 2(f).","As per Section 2(f) of the Digital Personal Data Protection Act, 2023: ""child"" means an individual who has not completed the age of eighteen years.",12,12,0.95,1.0,0.92,1.0,,1.0,1.0
How is a 'Data Fiduciary' defined in the Act?,"A Data Fiduciary means any person who alone or in conjunction with other persons determines the purpose and means of processing of personal data, as defined in Section 2(i).",As per Section 2(i): “Data Fiduciary” means any person who alone or in conjunction with other persons determines the purpose and means of processing of personal data;,12,12,0.93,1.0,0.9,1.0,,1.0,1.0
How is a 'Significant Data Fiduciary' defined?,"A Significant Data Fiduciary means any Data Fiduciary or class of Data Fiduciaries as may be notified by the Central Government under Section 10, as defined in Section 2(z).","As per Section 2, a ""Significant Data Fiduciary"" is defined as: 

""Significant Data Fiduciary” means any Data Fiduciary or class of Data Fiduciaries as may be notified by the Central Government under section 10;",12,12,0.94,1.0,0.91,1.0,,1.0,1.0
What is the definition of a 'Data Principal'?,"A Data Principal means the individual to whom the personal data relates. Where such individual is a child, it includes the parents or lawful guardian, and where the individual is a person with disability, it includes her lawful guardian, as per Section 2(j).","As per Section 2, the definition of a 'Data Principal' is: 
“Data Principal” means the individual to whom the personal data relates and where such individual is— 
(i) a child, includes the parents or lawful guardian of such a child; 
(ii) a person with disability, includes her lawful guardian, acting on her behalf;",12,12,0.92,1.0,0.89,1.0,,1.0,1.0
How is a 'Data Processor' defined under the Act?,"A Data Processor means any person who processes personal data on behalf of a Data Fiduciary, as defined in Section 2(k).","As per Section 2 of the Digital Personal Data Protection Act, 2023, a ""Data Processor"" is defined as: 

(k) “Data Processor” means any person who processes personal data on behalf of a Data Fiduciary;",12,12,0.96,1.0,0.92,1.0,,1.0,1.0
What is a 'personal data breach' as per the Act?,"It means any unauthorised processing of personal data or accidental disclosure, acquisition, sharing, use, alteration, destruction or loss of access to personal data, that compromises the confidentiality, integrity or availability of personal data, as defined in Section 2(u).","As per Section 2(u): ""personal data breach"" means any unauthorised processing of personal data or accidental disclosure, acquisition, sharing, use, alteration, destruction or loss of access to personal data, that compromises the confidentiality, integrity or availability of personal data.",12,12,0.95,1.0,0.93,1.0,,1.0,1.0
What constitutes 'processing' of personal data under the Act?,"'Processing' means a wholly or partly automated operation or set of operations performed on digital personal data, and includes collection, recording, organisation, structuring, storage, adaptation, retrieval, use, alignment or combination, indexing, sharing, disclosure, restriction, erasure or destruction, as defined in Section 2(x).","As per Section 2(x) of the Act, ""processing"" in relation to personal data means an operation or set of operations performed on digital personal data, and includes operations such as collection, recording, organisation, structuring, storage, adaptation, retrieval, use, alignment or combination, indexing, sharing, disclosure by transmission, dissemination or otherwise making available, restriction, erasure or destruction.",12,12,0.9,0.95,0.88,0.96,"Minor rephrasing, but accurate.",0.92,1.0
What is a 'Consent Manager'?,"A Consent Manager is a person registered with the Board, who acts as a single point of contact to enable a Data Principal to give, manage, review and withdraw her consent through an accessible, transparent and interoperable platform, as defined in Section 2(g).","As per Section 2(g): ""Consent Manager” means a person registered with the Board, who acts as a single point of contact to enable a Data Principal to give, manage, review and withdraw her consent through an accessible, transparent and interoperable platform;",12,12,0.97,1.0,0.95,1.0,,1.0,1.0
